timestamp,surfaceTemperatureCelsius,downwardSolarRadiationWsqm,diffuseHorizontalRadiationWsqm,windSpeedKph,windDirectionDegrees,cloudCoveragePercent,precipitationPreviousHourMillimeters
2019-05-01 00:00:00+00:00,3.4,0.0,0.0,14.5,300,100,1.5
2019-05-01 01:00:00+00:00,2.9,0.0,0.0,12.4,320,100,1.34
2019-05-01 02:00:00+00:00,2.8,0.0,0.0,13.7,334,99,1.2
2019-05-01 03:00:00+00:00,2.7,4.0,3.0,15.0,341,100,1.04
2019-05-01 04:00:00+00:00,2.6,15.0,15.0,15.6,342,100,0.86
2019-05-01 05:00:00+00:00,2.6,37.0,36.0,16.0,344,99,0.64
2019-05-01 06:00:00+00:00,2.7,80.0,79.0,15.8,351,99,0.36
2019-05-01 07:00:00+00:00,2.4,131.0,131.0,13.8,355,97,0.25
2019-05-01 08:00:00+00:00,2.5,212.0,194.0,18.0,6,100,0.16
2019-05-01 09:00:00+00:00,2.4,352.0,247.0,22.3,12,91,0.0254
2019-05-01 10:00:00+00:00,2.2,473.0,220.0,25.2,10,61,0.0
2019-05-01 11:00:00+00:00,1.9,571.0,141.0,26.6,8,48,0.0
2019-05-01 12:00:00+00:00,1.6,598.0,119.0,26.3,7,65,0.0
2019-05-01 13:00:00+00:00,1.4,493.0,192.0,18.0,5,85,0.0
2019-05-01 14:00:00+00:00,1.2,369.0,246.0,17.8,10,95,0.0
2019-05-01 15:00:00+00:00,1.0,274.0,220.0,18.8,13,99,0.0
2019-05-01 16:00:00+00:00,0.8,190.0,165.0,19.9,15,98,0.0254
2019-05-01 17:00:00+00:00,0.6,121.0,115.0,20.4,19,99,0.0
2019-05-01 18:00:00+00:00,0.3,64.0,64.0,20.6,21,97,0.0254
2019-05-01 19:00:00+00:00,-0.2,22.0,22.0,21.3,27,98,0.0
2019-05-01 20:00:00+00:00,-0.3,0.0,0.0,22.3,25,98,0.0
2019-05-01 21:00:00+00:00,-0.2,0.0,0.0,23.2,21,98,0.0254
2019-05-01 22:00:00+00:00,0.0,0.0,0.0,24.1,16,99,0.0
2019-05-01 23:00:00+00:00,0.2,0.0,0.0,25.0,11,98,0.17
2019-05-02 00:00:00+00:00,0.3,0.0,0.0,25.7,9,99,0.0254
2019-05-02 01:00:00+00:00,0.4,0.0,0.0,24.8,21,98,0.0254
2019-05-02 02:00:00+00:00,0.4,0.0,0.0,22.7,23,99,0.0254
2019-05-02 03:00:00+00:00,0.5,12.0,12.0,20.1,28,99,0.15
2019-05-02 04:00:00+00:00,0.5,52.0,36.0,18.6,35,93,0.0
2019-05-02 05:00:00+00:00,0.6,121.0,64.0,18.0,40,84,0.0
2019-05-02 06:00:00+00:00,0.7,210.0,79.0,18.1,43,86,0.0254
2019-05-02 07:00:00+00:00,0.5,300.0,113.0,18.6,48,93,0.0254
2019-05-02 08:00:00+00:00,0.5,385.0,139.0,19.8,42,77,0.0254
2019-05-02 09:00:00+00:00,0.6,444.0,156.0,20.3,38,73,0.0254
2019-05-02 10:00:00+00:00,0.7,530.0,134.0,20.0,34,66,0.0254
2019-05-02 11:00:00+00:00,0.8,571.0,125.0,19.8,31,63,0.0
2019-05-02 12:00:00+00:00,0.9,591.0,89.0,19.8,27,57,0.0
2019-05-02 13:00:00+00:00,0.8,560.0,99.0,18.0,31,77,0.0
2019-05-02 14:00:00+00:00,0.9,472.0,148.0,19.2,30,67,0.0
2019-05-02 15:00:00+00:00,0.9,379.0,145.0,20.0,31,64,0.0
2019-05-02 16:00:00+00:00,0.8,275.0,134.0,20.0,38,65,0.0254
2019-05-02 17:00:00+00:00,0.7,182.0,102.0,20.5,46,59,0.0
2019-05-02 18:00:00+00:00,0.6,104.0,81.0,22.0,54,46,0.0
2019-05-02 19:00:00+00:00,0.2,36.0,36.0,21.5,62,48,0.0
2019-05-02 20:00:00+00:00,-0.3,0.0,0.0,23.4,63,46,0.0
2019-05-02 21:00:00+00:00,-1.1,0.0,0.0,23.4,63,27,0.0
